	Unnamed: 0	spearman
0	Vision	0.04840169970666974
1	Bright	0.07751325579979235
2	Dark	0.14616896365172027
3	Color	0.11980378006977704
4	Pattern	0.1098911764586935
5	Large	0.008224482981355141
6	Small	0.01619796151241354
7	Motion	0.05143367675797156
8	Biomotion	0.12527069029729848
9	Fast	0.06078291286289966
10	Slow	0.08230586436185333
11	Shape	0.10982512985867343
12	Face	0.05973244368224556
13	Body	0.13670592967022532
14	Touch	-0.06823254094231657
15	Pain	-0.09563837804665776
16	Audition	-0.012408046575521137
17	Loud	-0.04925532139957434
18	Low	-0.1122538064903528
19	High	0.03833234571441391
20	Sound	-0.04144680710716475
21	Music	0.02159343291239091
22	Speech	0.08559696598653727
23	Taste	0.09180123701895554
24	Smell	-0.008147752712939493
25	Head	0.18592137477637977
26	UpperLimb	0.2778509433735246
27	LowerLimb	0.2337933658348779
28	Landmark	0.010205292408195732
29	Path	-0.016675993405162348
30	Scene	0.16953764302552454
31	Near	0.15162254852772325
32	Toward	0.1798349429641644
33	Away	0.1251296317046261
34	Number	0.18301963023836548
35	Time	0.0568814979000751
36	Duration	0.059574575221747667
37	Long	0.056109383040913785
38	Short	0.09527781942641322
39	Consequential	-0.07610302210085373
40	Social	-0.02406819384002995
41	Human	0.2711041058028392
42	Communication	0.18266206758783404
43	Self	0.16122346114116826
44	Cognition	0.10864477638622594
45	Benefit	0.1718880237706195
46	Harm	0.007857900445481514
47	Pleasant	0.07706569300258187
48	Unpleasant	0.014328422489796377
49	Happy	0.168603620525618
50	Sad	0.10114081813086456
51	Angry	-0.03040597121581612
52	Disgusted	0.043908596929147614
53	Fearful	0.01813376126979821
54	Surprised	0.23621613051004078
55	Drive	0.09172968357972383
56	Needs	0.20315503120891476
57	Attention	-0.06594631173669313
58	Arousal	-0.13698810552737406
