	mse	pearson	spearman
BCC(log10)	0.9719039902574969	0.5571276254301977	0.5691974484497849
Vision	1.3080387245689677	0.4874508779393164	0.4529964240479982
Bright	1.1819759170924047	0.42862785497928246	0.4386778119913016
Dark	1.0884854261665233	0.3581118431613778	0.353980937593556
Color	1.0006852847979477	0.5443362316635076	0.548963485701821
Pattern	0.8553147655127733	0.620525698415749	0.6180164183523713
Large	1.358204159219508	0.45856362027728786	0.38796472504466656
Small	1.3074350088034241	0.4893087912905276	0.44328841871034746
Motion	1.047649401038359	0.4089207302086126	0.3948322411658821
Biomotion	1.5107478419591398	0.45100422086164016	0.3767085798401005
Fast	1.353826408241567	0.36465066844019484	0.31501350046461696
Slow	0.6256444577109077	0.32050189692363223	0.3131669401033431
Shape	1.0845882948575578	0.5521420203963092	0.5651086019841541
Complexity	0.7657753879972338	0.28970742824772605	0.303527983800138
Face	1.414406977626281	0.46705778206453996	0.32407390693093285
Body	1.5159571340966138	0.3955717337481229	0.2567036104556129
Touch	0.9475818642844667	0.49606543602586617	0.4914975579633379
Hot	1.177636209810567	0.15345941996111595	0.10233503809947823
Cold	1.1400630163740089	0.42501859949229015	0.39336082205762446
Smooth	1.127639181628187	0.4228682535525362	0.39674363213120495
Rough	1.0620762138316626	0.23019927117600797	0.21847174212011627
Light	1.2007624479907164	0.48873933641259315	0.451438815877948
Heavy	1.3083289529481423	0.44983808255210384	0.39506781069980346
Pain	0.7275850286730277	0.5569148220195391	0.48688976493922065
Audition	1.0199945053922501	0.487615263206831	0.4491625045514476
Loud	1.3187337869759301	0.4225170309946673	0.3930783725456744
Low	0.5708922680062932	0.20080130198289803	0.17618696957356234
High	1.2513434546479067	0.34755597415679007	0.30686388834379685
Sound	1.1859846961168086	0.4540556405987882	0.40051102151870693
Music	0.9425180120510163	0.40974750036550506	0.2060000873803812
Speech	1.2304516164359196	0.5107547279502913	0.41564075845009496
Taste	0.9025918613231351	0.46493870628525424	0.32400793063330807
Smell	0.8853666256036019	0.4466360249938301	0.33721972696876784
Head	1.4720705851546803	0.4632447942446918	0.44877958016680985
UpperLimb	1.2081024075675	0.4011168349291115	0.3976622078811167
LowerLimb	1.133501880159272	0.3738382878256762	0.3619427882245962
Practice	1.460066563662103	0.3817165775031889	0.38170610035812114
Landmark	0.9668639886767603	0.4670886841372859	0.3672915857677082
Path	0.9182808582035007	0.36171850438030384	0.29642877865781964
Scene	0.8361801828524639	0.39967534883134376	0.4011102026455161
Near	1.0639720263307226	0.3695329752440051	0.35931374193234367
Toward	0.7520953297275876	0.489607101575643	0.4499335835535037
Away	0.6504223828159226	0.15899808083588757	0.13504106273563132
Number	0.6961144519795476	0.17116853047397895	0.10811623527581542
Time	0.6834647751064685	0.31143435028844013	0.23979088214393607
Duration	0.6993220158840237	0.31345575051313934	0.2844350121317736
Long	0.659043701286073	0.37470173445108396	0.36106613346270944
Short	0.6962587445214792	0.37357591993469474	0.38915871489829207
Caused	0.7863256766941402	0.41996351227881207	0.4368022590282002
Consequential	0.7017733041951736	0.4083999144336955	0.42163107957304813
Social	1.0306740977561948	0.4340339857808747	0.4255632657184346
Human	0.9779748305695086	0.42600294480621914	0.4281968078325599
Communication	0.6648236850796799	0.5270987442324327	0.5417589744827586
Self	0.6965803120655878	0.43301316340087465	0.4050890544328912
Cognition	0.646148014605421	0.560045949221929	0.45334080344650696
Benefit	1.0419354861477936	0.4557212437951799	0.4307620610536831
Harm	0.8752917787301797	0.5425362463072088	0.44678843396889284
Pleasant	1.0213089306832834	0.4962307426088426	0.48020186535043924
Unpleasant	0.928615590619845	0.5685167812482463	0.4688297164710627
Happy	1.0414629678418632	0.4831505624610707	0.45950794001179746
Sad	0.7794924329366262	0.547135445545365	0.45509358874840433
Angry	0.8231474092707087	0.5250640222169733	0.40890187740809864
Disgusted	0.840861802496715	0.5307631507019078	0.4023468629867849
Fearful	0.77713306710068	0.5497964837769009	0.4917136831784946
Surprised	0.5749475945490138	0.3022191946672509	0.2761313226924081
Drive	0.600877943242927	0.25734862262486746	0.24792773014649305
Needs	1.3250663748722655	0.33885339933168634	0.3443795302001027
Attention	0.5926508911552137	0.32014426946545826	0.29559747766671896
Arousal	0.5684429235128812	0.3140194038934306	0.3063404665018785
